time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451950000	6.55832	20.081	5.34556	3.51646	0.361622	radar	0.611657	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.34441	19.9812	5.23877	3.54423	0.378926	lidar	0.201268	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.1248	19.8889	5.23897	3.56683	0.392374	radar	3.13894	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.87099	19.7917	5.28121	3.57717	0.378033	lidar	0.0992014	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.6068	19.6539	5.60256	3.6061	0.404635	radar	1.31822	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.50816	19.5103	5.16185	3.67869	0.49587	lidar	2.84562	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.31361	19.36	5.11214	3.71834	0.520314	radar	1.86407	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11713	19.2551	5.03228	3.73644	0.512879	lidar	1.97195	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.9613	19.137	4.6781	3.76639	0.516662	radar	4.26458	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.82668	18.9887	4.54918	3.81594	0.556708	lidar	0.345614	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
